heart_rate,spo2,temperature,humidity,noise,light,vibration,timestamp,hour,day_of_week,stress_index,env_risk,label
103,85,39.4,63,39,107,70,2026-03-22 10:00:00,10,6,145.4,159.0,1
126,93,39.6,57,37,397,28,2026-03-22 10:01:00,10,6,138.2,213.0,1
92,91,39.4,45,30,216,21,2026-03-22 10:02:00,10,6,108.4,165.5,1
99,90,39.2,56,63,101,69,2026-03-22 10:03:00,10,6,146.4,170.7,1
113,90,36.9,66,35,251,17,2026-03-22 10:04:00,10,6,128.0,181.5,1
87,89,39.7,67,64,274,61,2026-03-22 10:05:00,10,6,136.4,212.5,1
126,93,39.6,39,60,339,35,2026-03-22 10:06:00,10,6,151.8,208.5,1
96,93,38.6,38,97,462,16,2026-03-22 10:07:00,10,6,140.6,256.5,1
79,86,36.3,39,98,382,48,2026-03-22 10:08:00,10,6,147.6,237.1,1
110,97,37.3,64,73,185,10,2026-03-22 10:09:00,10,6,132.0,194.7,1
126,92,38.1,38,58,568,69,2026-03-22 10:10:00,10,6,162.5,249.4,1
67,93,35.8,67,67,483,26,2026-03-22 10:11:00,10,6,105.4,248.6,1
84,89,37.5,34,86,304,45,2026-03-22 10:12:00,10,6,140.2,213.0,1
113,96,35.9,46,58,283,27,2026-03-22 10:13:00,10,6,133.5,192.0,1
124,96,38.8,46,58,206,40,2026-03-22 10:14:00,10,6,146.2,182.4,1
121,99,38.8,62,93,571,23,2026-03-22 10:15:00,10,6,151.7,287.9,1
119,94,38.8,50,77,529,60,2026-03-22 10:16:00,10,6,160.7,262.3,1
72,98,40.0,56,35,449,77,2026-03-22 10:17:00,10,6,101.2,222.3,1
88,94,39.6,61,56,439,42,2026-03-22 10:18:00,10,6,120.0,236.7,1
83,98,39.6,71,85,343,8,2026-03-22 10:19:00,10,6,114.3,242.8,1
90,89,40.2,52,38,444,25,2026-03-22 10:20:00,10,6,115.0,221.8,1
66,93,37.5,70,45,187,61,2026-03-22 10:21:00,10,6,104.1,178.9,1
69,98,36.7,70,39,211,36,2026-03-22 10:22:00,10,6,88.5,177.9,1
101,87,39.5,36,41,348,64,2026-03-22 10:23:00,10,6,140.0,195.3,1
116,85,37.7,88,79,212,9,2026-03-22 10:24:00,10,6,157.5,217.1,1
120,85,35.6,65,74,108,14,2026-03-22 10:25:00,10,6,159.7,177.1,1
69,95,39.7,60,74,336,38,2026-03-22 10:26:00,10,6,111.1,228.4,1
127,89,38.2,37,35,380,6,2026-03-22 10:27:00,10,6,137.4,195.4,1
105,85,39.3,84,58,227,46,2026-03-22 10:28:00,10,6,149.3,206.6,1
112,96,39.5,63,44,554,36,2026-03-22 10:29:00,10,6,128.4,252.1,1
84,96,38.3,41,53,278,5,2026-03-22 10:30:00,10,6,101.2,189.8,1
77,99,38.4,40,45,107,14,2026-03-22 10:31:00,10,6,89.8,149.7,1
115,89,37.6,41,79,313,75,2026-03-22 10:32:00,10,6,170.5,213.6,1
91,98,38.7,40,71,275,76,2026-03-22 10:33:00,10,6,134.1,202.1,1
126,90,39.3,48,46,524,18,2026-03-22 10:34:00,10,6,144.2,239.6,1
120,98,38.8,68,74,196,77,2026-03-22 10:35:00,10,6,159.1,202.6,1
72,94,39.5,50,54,413,72,2026-03-22 10:36:00,10,6,115.2,224.4,1
68,89,37.8,36,31,368,76,2026-03-22 10:37:00,10,6,109.2,188.9,1
84,91,37.4,82,93,190,48,2026-03-22 10:38:00,10,6,141.6,218.9,1
80,85,36.0,74,39,302,42,2026-03-22 10:39:00,10,6,118.6,196.7,1
85,94,39.6,42,33,275,47,2026-03-22 10:40:00,10,6,107.6,178.3,1
98,95,35.7,66,99,230,36,2026-03-22 10:41:00,10,6,146.2,219.7,1
117,87,39.4,33,87,364,60,2026-03-22 10:42:00,10,6,174.6,229.0,1
95,96,38.4,57,50,290,7,2026-03-22 10:43:00,10,6,109.1,198.3,1
124,86,40.4,40,55,526,23,2026-03-22 10:44:00,10,6,154.6,244.5,1
85,88,37.0,36,86,577,40,2026-03-22 10:45:00,10,6,141.0,267.6,1
61,93,39.5,73,95,214,49,2026-03-22 10:46:00,10,6,121.5,224.8,1
71,99,40.3,86,76,280,23,2026-03-22 10:47:00,10,6,103.2,232.8,1
124,87,36.7,40,71,157,56,2026-03-22 10:48:00,10,6,171.0,174.5,1
127,95,35.7,33,78,254,27,2026-03-22 10:49:00,10,6,156.2,193.3,1
82,86,39.3,71,40,173,10,2026-03-22 10:50:00,10,6,109.6,176.7,1
92,95,36.7,65,35,399,69,2026-03-22 10:51:00,10,6,119.3,210.2,1
106,89,38.8,33,48,557,39,2026-03-22 10:52:00,10,6,137.0,239.1,1
103,86,39.2,60,99,112,24,2026-03-22 10:53:00,10,6,160.1,200.1,1
104,85,39.4,64,32,213,7,2026-03-22 10:54:00,10,6,123.8,175.8,1
73,89,35.6,30,88,283,7,2026-03-22 10:55:00,10,6,121.0,204.4,1
99,91,38.2,78,80,598,72,2026-03-22 10:56:00,10,6,154.3,291.0,1
101,89,40.1,75,40,586,10,2026-03-22 10:57:00,10,6,120.3,262.9,1
113,88,38.5,36,36,397,22,2026-03-22 10:58:00,10,6,133.0,199.6,1
84,97,39.4,50,53,487,77,2026-03-22 10:59:00,10,6,121.3,238.3,1
111,96,35.6,41,44,377,70,2026-03-22 11:00:00,11,6,137.8,197.9,1
127,86,36.4,49,35,567,40,2026-03-22 11:01:00,11,6,152.1,235.2,1
113,91,39.3,54,87,138,12,2026-03-22 11:02:00,11,6,151.0,194.1,1
